Name	Description
REVIEW_CYCLES	各PullRequestに関するレビュアー数
TIME_TO_FIRST_REVIEW	各PullRequestに関する作成から最初のレビューまでの時間
TIME_TO_APPROVE	各PullRequestに関する作成から承認されるまでの時間
TIME_TO_MERGE	各PullRequestに関する作成からマージまでの時間
CHANGED_REMEDIATION_TIME	各PullRequestに関する推定修復時間変動数
CHANGED_LOC	各PullRequestに関するLOC変動数
CHANGED_ISSUE_COUNT	各PullRequestに関する指摘数変動数
CHANGED_TEST_COVERAGE	各PullRequestに関するテストカバレッジ変動率
