Name	Description
PR_COUNT	PullRequest総数
PR_SIZE_AVERAGE	PullRequestに関する平均変更行数
TIME_TO_FIRST_REVIEW_AVERAGE	PullRequestに関する作成からFirstReviewまでの平均時間
TIME_TO_APPROVE_AVERAGE	PullRequestに関する作成からApproveまでの平均時間
TIME_TO_MERGE_AVERAGE	PullRequestに関する作成からMergeまでの平均時間
COMMITTER_COUNT	PullRequestに関わったコミッター総数(重複を除く)
REVIEWR_COUNT	PullRequestに関わったレビュアー総数(重複を除く)
REVIEW_CYCLES_AVERAGE	PullRequestに関するコミッター・レビュアーの平均往復応答回数
PR_COUNT_PER_COMMITTER_AVERAGE	PullRequest数のコミッター1人あたり平均
